s	scores
NA12383	[0.07481052820407251,-0.24625933291179733,0.018075318924071906,0.08975071287429102,-0.0023781884373605907,-0.036561018992596374,0.023084637108572954,0.003474000725131441,0.015523361553518366,-0.0038782786224721573,0.007155874438552359,0.004774277526868797,0.004388341532882834,-0.0035101549299396623,0.012365745520248524,-0.0066230132963317,0.007308001086239108,0.011607570296586035,6.818475337428636E-4,-0.008494744473334348]
NA12399	[0.07522266968404442,-0.24962191586895627,0.02717803438656082,0.09571829600586494,-0.009166772083929735,-0.0389809482864999,0.03130174826608383,-0.003210517038087996,0.011458619368202366,0.0026217479587105504,0.01241999003034986,0.0029974491815756665,0.005638710705986684,-0.0028701482799933994,0.010999730754365935,-8.549826500389794E-4,0.018552478089168378,0.00947507516664367,-0.005259053296927863,0.005929382907506301]
NA12400	[0.07240929674707358,-0.24661942971856857,0.02740526031444239,0.0905266134759288,-0.011859092406292864,-0.041348487389402534,0.02739590228851946,0.00479638896998445,0.008677734295534407,-0.004826857852344517,0.010447662420343675,-0.003280794192839222,0.005090922059119334,-0.01387493771562428,0.009284484426921905,0.0035373637322453485,2.420959780746832E-4,0.002768320870317399,-0.002106134038940032,-0.001053313695552579]
NA12413	[0.07752608856498212,-0.2470978003307751,0.020079135345487217,0.09040092571941022,-0.012924494537461062,-0.028458408021572068,0.027418515608462226,-0.0017498775333536446,0.00228659947285702,-4.5221053132934964E-4,0.0028927168980319106,0.004437166960724364,-0.001115914172250317,-0.00915926175650186,0.014014561313638178,0.0023721092333670833,-0.005511662291332386,-1.672894309942422E-4,-0.0032435614173258027,-0.0054364056435792585]
NA12414	[0.0762975152802461,-0.24840586678679621,0.02478555307791031,0.09009667372303651,-0.006626964806033329,-0.04966719819395284,0.036206120939504864,-0.004409174138170274,0.0010817418964688544,-0.009880714481917137,0.027050518425973263,0.002768620230483958,-0.0010834342908967794,-0.017483693447237568,0.01582843667067079,-0.007000159604071457,0.0027474637555456936,0.011454308320910565,0.00672929939285803,-0.006935281898190356]
NA12489	[0.07830269739965107,-0.24993305188383094,0.01838589134729876,0.09650422059178178,-0.012848169328762529,-0.046724148114932494,0.022871298033985864,-0.005187883499423611,0.010400056357003142,-7.709458469290488E-4,0.007754493475872737,0.0017935641775384064,0.007838942017359511,-0.0017457882170453633,0.006761948982476175,6.178440864099865E-4,0.011387400120253752,0.007772441098079711,0.0028667169160901057,-0.007973199071522033]
NA12546B	[0.06953204167127444,-0.24417011221367282,0.024325741773361057,0.08737334068818278,-0.006849515571021314,-0.04201706631329902,0.027092701768911282,0.005473050023795711,0.01094351620532611,-0.0010094988948854595,0.0012350441553657266,-0.005537627405835038,0.0031791746579552978,-0.006752553435280814,0.005795073754797212,-0.01183855757266393,-9.96901136805731E-4,-0.0012887181435915084,-0.005020974633408151,0.0016722923644878008]
NA12716	[0.0766079421842503,-0.2541422954174308,0.025825322029138363,0.08946040428900265,-0.011260972412456507,-0.055125484617687834,0.029679224416344897,2.9668249429502764E-4,0.005384445183178758,-0.0012120728113328026,0.008610638264621061,-0.006923078533463223,0.005510424767346994,-0.005799205627637548,0.003568263316527945,-0.015510479156972321,-1.4713728973319743E-4,0.001744399489011007,0.005580935097317936,-0.0015712482170667404]
NA12717	[0.07194440159157153,-0.24480621808915373,0.0231723755445519,0.09207367102435128,-0.016692722345366617,-0.04312435338995356,0.02564791806263446,0.0074923071652241765,0.004573275295340465,-0.006533232509069803,0.011111221040720085,-0.010010874423139332,0.0037571647471122682,-0.006710924516988728,0.005637875766940881,-0.0048939774985830055,-0.0026776769618232056,0.007331559318897213,0.013031795393464142,-0.0069018827851412]
NA12718	[0.07866560733786386,-0.24741990784142057,0.02096030824336246,0.0902805642768367,-0.008015122754347553,-0.04521016144307353,0.02605854856138503,0.006760312208091949,0.008000784759291737,0.003657911122736554,0.006332010815982267,0.009630013179890541,-4.90998569837876E-4,0.0033708025384175206,0.0044897253141680865,7.760556679739992E-4,-0.0010294664037239188,0.018886525746240237,-0.008951909608575604,-5.017579215570942E-4]
NA12748	[0.07819285160065594,-0.24658765800815557,0.02567992290183844,0.09851405078870144,-0.013138333086930257,-0.0575672751180743,0.03205132034225899,-0.0027528989660241575,0.005081514650179027,-9.764281938594392E-4,0.021265128738660915,-0.004161526571880647,0.007176350216008326,-0.004720632788783084,0.02320623942085817,-0.01011925530629796,-0.002921962405033985,0.008816271696380188,0.0013827493028982754,0.00627933392230112]
NA12749	[0.07827087000380838,-0.24981145297222945,0.02503556463071368,0.08441804409540932,-0.0076463293383799025,-0.04032965772505319,0.023368505373852842,0.00545559877669441,0.010995133103833807,0.0012183103740744093,0.010091855144868045,0.0010177233495827181,-0.010591916981544677,-1.090641600967416E-5,-3.6139574282431706E-4,-0.004915285971624788,0.009149198441993495,0.014256237808982025,-0.004166618455195671,5.815842630339645E-4]
NA12750	[0.07645359130343048,-0.24713344564186238,0.02015871698856548,0.09091865433752463,-0.01043635978237812,-0.056013763369084466,0.019452966158484006,0.004705976052428265,0.01052668146759577,0.00316375615820045,0.0047963975225709405,-0.0026442660369265904,0.0022204173330627438,-0.004748353527964792,0.008112772279423154,-0.005237553512175037,0.007395876252230985,0.02080521689190213,0.00815142822941623,0.007731017304817755]
NA12751	[0.07313482012830091,-0.25570559328479525,0.02588085499597053,0.09097056081560963,-0.0058306491023426745,-0.05681520818800063,0.03106104445221732,0.00430749093820467,-0.010082630067604582,-0.006297098751613284,0.011008717561701421,-0.0047369250588175935,-0.010347731036157147,-0.002792744118654517,-0.003236251255920729,-0.0033424696762263924,-0.0040617155140850415,0.012099610742208153,-0.006155217588024429,-0.006817340075655187]
NA12760	[0.07145248531757138,-0.24601889744302105,0.016941379591698197,0.08833663589515128,-0.011422723893484664,-0.049000270703969145,0.022308177864152193,0.0014376180983202654,4.3866454557706493E-4,-0.0038662577915383528,0.0030353112011192794,4.5968746627404343E-4,-2.6979937197949455E-4,-0.002736957787763189,0.008954680602992456,-0.005648117977411419,0.004737965051154228,-0.009203220154599782,0.018287550106678402,-0.006632804568594328]
NA12761	[0.07552596828124691,-0.24763878101743322,0.02596027620234406,0.08649028812828065,-0.006320829031194071,-0.04388178001993008,0.03551863589727684,0.0010927780141105675,0.007214002303904946,0.0022402103820285645,0.01836648932317584,-3.8030597675138225E-4,0.020498687134649585,-6.058741238027617E-4,-0.0022516514036777274,-0.0019524628681801609,0.003507099601576723,0.010059932192223248,-0.009784876998286278,-0.003956974817476166]
NA12762	[0.07982109421229454,-0.2476345347863363,0.017199469709328594,0.08903570292087537,-0.006860114037764061,-0.05080015317239164,0.0316808852513092,-0.0023689555648536173,-0.012289611730531584,-5.221980773895458E-4,0.004437852122018264,-0.01094251371344735,0.005569562418290079,-0.0015153257799260897,-0.0031990803602476746,-7.827076685806839E-4,0.017365765053497628,0.006317428962069539,0.003641311459699207,0.004244731841421741]
NA12763	[0.06847762170946717,-0.23779374258111025,0.018404691902696946,0.09173020198353993,-0.011985102164533573,-0.04572775572606049,0.020684290123597755,0.003993767867524445,0.006813665705073239,-0.0042330617615117284,0.0033501089505971688,-0.007522646003106288,-1.3263266725012637E-4,-0.005225429743875951,0.012863111576808904,-0.014449908634698158,-0.009759548005788373,0.009007742012760125,9.226298447122343E-4,0.008053872641966615]
NA12775	[0.07503715211547046,-0.2525299587242841,0.025335430105542768,0.0884395354040308,-0.010210098900617692,-0.04404079645441578,0.03295017257710333,0.0037296947045801767,-4.884332783530119E-4,2.006331592270836E-6,0.009096226563574002,-0.005874083271887228,0.0023703262401210965,-0.010072755439161746,-0.005772358107644141,-0.008670729175528791,0.0020745800047441147,0.006064040557543656,-0.004014721860996502,-6.677719147227243E-4]
NA12776	[0.07713144166959572,-0.2445940514336278,0.03155542612396679,0.08754360725329974,-0.011061256771594905,-0.05610549663230743,0.032013756535239135,0.00869614639627513,-0.0022174025705114296,-0.0038584573061435745,0.0026092799154242,-0.007211528498789149,0.011448560426063868,0.004700389666731339,0.007308130964547959,-0.015772950684147698,0.005226050802911255,0.0030181288985450428,-0.0017729200472433892,0.005613180834291808]
NA12777	[0.07712204014874925,-0.24842981222998975,0.015744796902308632,0.09701014124990982,-0.011528382481647208,-0.04964493104982331,0.023888695400474457,0.004913393663357326,0.010317030030319157,-0.00317251159540252,0.005135404012881134,-0.007239022497290049,0.007367929787305067,-0.009173703226516413,9.900833794092196E-4,-6.359567334011947E-4,0.002536335575257027,0.01931042934834318,8.776026171359526E-4,-0.005496107861838766]
NA12778	[0.07472008217104414,-0.24901985250902056,0.02305009618298905,0.09009739837750226,-0.002746775263037901,-0.046074559904329876,0.023882670754084213,0.0016381505533623903,0.0035904387416147076,-0.006600706215078777,0.002223930088158396,0.003843654865925971,3.184718101205216E-4,-0.006039428090044695,-0.005657029951348308,-0.009069309839685201,0.0020467099357317927,0.015685037013334478,-3.1866035491499595E-4,0.007636942986178162]
NA12812	[0.07736911270458928,-0.25055860890078213,0.017219911486799362,0.09446200978159443,-0.0055206174603380275,-0.05065979365705654,0.026610731237240275,0.004432825014874384,-6.433229653500051E-5,1.5950460178189285E-4,0.012549865174693954,-0.008425292227159025,0.006064625452201238,-0.006336064032928114,0.009080332202680433,-0.007382444309761624,0.01703024778442121,0.014957082742984426,-0.006645205884641682,-0.0024991904671650875]
NA12814	[0.06918489655408608,-0.25253920171110283,0.021212009900990064,0.08844100062348215,-0.005607326932944149,-0.057859613657436464,0.027397260330251513,0.00242874264700875,-0.0046156362496757326,-0.004814690767290898,-0.002978917980738849,-0.002162501381893822,0.002885343319037651,-0.004734733467118729,0.0025356376339215896,-0.0014392247196471377,0.004323431524264822,0.009356961092288786,0.0010868122528591385,-7.124685840566721E-4]
NA12815	[0.07319425333487248,-0.2481470827445029,0.018035098721938907,0.0903660171687267,-0.011135945653990594,-0.0521461388046814,0.024031226793690946,6.25349324467802E-4,0.0038375459722832287,0.003120409197986448,-0.0022402106550642883,0.0028530394755406025,0.012187963742918627,8.013544199669838E-4,0.007721779298030303,-0.004950529956871828,0.0023527034082344465,0.0038170254829288236,-0.0055502736941581395,-6.699612529920175E-4]
NA12827	[0.07098564288511262,-0.2519164326958675,0.027224474349872987,0.08583245810127431,-0.01334432033430218,-0.05949873404448058,0.0346238678180979,0.005099784052757233,6.377892542158486E-5,-0.003845413760385874,0.013684917058434378,0.0021275457485434323,-3.2830591257306E-4,-0.01091244581282724,0.019022037984535244,-0.0055926764199840055,0.0019389650754452802,0.006692878673059043,0.0034674312773011287,0.0062024861405857445]
NA12828	[0.07642769597729483,-0.24756742746326696,0.01976459959537735,0.09410508278165315,-0.011954780039049612,-0.04450895879620278,0.02688238161690254,0.004836074131148064,0.00734035718249859,-0.009353183726335087,0.010825256652270555,-0.0015208508973517778,0.00781961599456176,-0.0029133437817220496,0.0036532693077623423,-0.005567741509688152,0.00972899531129107,0.010646961378703964,-0.0015738575342903835,-0.012703511137041847]
NA12829	[0.06621902138933869,-0.24634101618366208,0.023871277480616987,0.09031662638722573,-0.011519606789993468,-0.03891405083394367,0.027999959416645553,-0.002222967038452787,0.011880650829058407,-6.876307891755442E-4,-0.0016493160008986436,0.001778371276035787,-0.001374662162566638,-0.010077114674613573,0.00947501477881937,-0.003964173235323994,0.010589817996137866,0.018216975806229017,0.002949610757420302,-2.9460430741244474E-4]
NA12830A	[0.0799975713978862,-0.24993835809308873,0.027863456628441974,0.09438706309196103,-0.0071881350211517,-0.04296473166560088,0.018813904216131057,0.0014571885495102597,-0.0027569376556300686,0.003751542380889731,0.011598169340682687,-0.006048781186188971,2.5923630321288176E-4,-0.0011407337142347442,0.0030342548233803727,-0.002559974064905368,0.0069867548351494,0.002246780888035319,1.1147173448136302E-4,-0.0011520110670438137]
NA12842	[0.07771946014231736,-0.2570287324594338,0.021059565064567024,0.09554484854774743,-0.007531156374832094,-0.05392592192495493,0.03699061815271636,0.0052817092249028644,2.5312909017592776E-4,-0.008337326512942682,0.004226689397230509,2.6806763868038014E-5,0.005054131119605371,-0.010284578381612518,0.006002024052356644,-0.003221829692726124,-0.0019324438818892104,0.016264903399999885,-0.0035446103959352504,-0.011213464571853508]
NA12843	[0.07552490652411625,-0.2433971753192018,0.01872842006984668,0.08765215135620363,-0.010291161751184105,-0.056343032643361796,0.03720065262709928,0.003589919241221276,0.007930993087619242,-0.00608658058064459,0.010786204807649758,-0.012694516680026044,0.003544269729855952,-0.004401797513477215,-0.001649238113185877,-0.012065356477837385,0.004493619198666798,0.007501539094178565,-0.004300782465576261,-0.00395022950120788]
NA12872	[0.07376047435089392,-0.24240850755186524,0.021383824313085928,0.08780168327308459,-0.01169935050382332,-0.04428779918429939,0.029357240183092197,0.006457273982870738,0.0024777986820919036,1.6577528069895754E-4,0.012059965408276993,0.011353418434897743,-1.1236138256108125E-4,-0.00915427772158724,7.911221033359163E-4,-0.004309137093031577,-0.005879420274575476,0.01674608262138586,-0.0015007243064515175,-0.002887008645796621]
NA12873	[0.07849527178041232,-0.24049322153007582,0.023123521879167726,0.08531302518636026,-0.010223909771606603,-0.055737427230133155,0.03761991467402691,0.004836741005586366,-0.0011435179010265554,-4.1488127190682185E-4,0.009918325711576791,-0.0069747587045085845,0.004227246420450701,-0.011252870151607,0.0033577112227962352,-0.014177347683176253,0.015250326093006401,0.0160987550791907,-0.0019328216328682254,-0.004261639062734983]
NA12874	[0.06505681003594957,-0.24342818091989715,0.02130843438734808,0.09261618653133469,-0.009273149655947627,-0.03738507971439524,0.030170824733019998,0.011787243043305688,0.0014104822104375882,-0.007519379553674535,0.02338615340285595,0.007258816091287184,0.008840226130931135,-0.01336101051513188,0.012172804519918817,-0.00629726073326745,0.0026063638020688753,0.012054194212515908,-0.007598735246565888,-0.001981389108278447]
NA12875	[0.07747176069184918,-0.2434213240325724,0.02907919925965746,0.0897773771393162,-0.010109944694861013,-0.06685557818440016,0.038106647842885505,-4.635121393658959E-4,-0.003017183160114154,0.0020655718780517116,0.0028777713848567497,-0.018777196957804554,0.00818895887869933,0.006571481748368964,0.00938849970988767,-0.007031776377214845,8.056365666578487E-4,0.005469286754833102,-0.006952112695409568,-0.011678993448488481]
NA12889	[0.07144740704343026,-0.2522128593741382,0.015259050853412344,0.0995569455433569,-0.006528690613642794,-0.025029728849387665,0.021813694208680602,-0.0037410580740757397,-0.0037162321037945427,9.461162257128628E-4,0.001650749607499717,9.816825390567521E-4,5.242904078552083E-4,-0.00389809067260439,-0.003082435210431086,-0.012704746489438683,-0.007514797017083026,0.0013827059414865182,-0.005513912131372566,-0.008367868285213336]
NA12890	[0.07283688767525326,-0.24539225377039037,0.024388688608520497,0.08987145975498338,-0.007241194758549386,-0.05135935096747508,0.03622900450364104,0.006872966551407128,-0.011789571611542817,-0.0030705293119794217,0.004648402710117785,-0.009939348978149801,0.007239761860455782,-0.018202599911092895,0.0024781502501560007,-0.011222948604794404,0.008673976099108218,0.014455951894207482,-0.002314922165107789,0.005710125184978167]
NA12891	[0.07489298583506913,-0.25062695930487033,0.027990908784478994,0.08827340196610803,-0.013644418621212356,-0.06175801870005356,0.026727757701948195,9.255016845027002E-4,-0.006778489185136441,-0.004823331885488242,0.0022638112268434634,-0.009573146525553652,-0.008309095090748448,5.3773843607627E-4,7.462870565810781E-4,-0.0038588191104231154,0.006577724313999696,0.015170536043808015,-0.0050737611366611654,-0.018283315080720536]
NA12892	[0.06555206119623416,-0.24526833945546736,0.01988826055194612,0.08588258457908664,-0.004361975970704982,-0.050200002513329664,0.030856859106010777,0.0013227967410117,0.00851426605574683,-0.010940684810157105,-0.005961245727137072,-0.009098128486994175,-0.002094782008336589,0.001349954940552058,0.007673972971655778,-0.008565275358171358,2.010891258571793E-4,0.002806289992863621,0.008077520851649604,2.3051483981500042E-4]
NA18486	[-0.4003068940682644,0.09684137425582208,0.007874162485873219,0.0050627366514123945,0.013368830538565336,-0.005153824976703395,-0.0010702838266715732,0.03575312534256727,-0.004994573425582931,-0.03267987022052016,0.003065337033076191,0.004493464557789623,8.728069470903534E-4,-0.016118488164725237,-0.030020258411687692,-0.010313382033931066,0.006654444002473871,-0.006652477996304506,0.011935150838603527,-0.0020274878225673503]
NA18487	[-0.4141973945160718,0.09438630292787296,0.010664039665307748,-0.002298739896212622,0.008928699769163193,-0.010613266104140536,-0.003162474340842812,0.03312612683361712,-0.00230028001913025,-0.04148055044998989,0.0026958837760574137,0.01199338480234186,0.0024980210172526364,-0.029719123670050498,-0.037557592475570854,-0.005028587537393383,-0.004855332433582114,8.218267414790753E-4,0.006243152332788801,-0.0010607789786351894]
NA18488	[-0.40714748484986263,0.09159865731412732,0.0010867327624063774,0.0022721332690305296,0.011650987634837316,-0.009803175790380144,-0.00785434125181699,0.03840030623557426,6.697623304231996E-4,-0.04654736257557375,0.0047609781749438345,-0.005402316502843023,0.0015465740782679756,-0.03080695801031685,-0.03727877322999763,0.0014229517290651932,-4.077625256887734E-4,-0.002293765633749568,0.0056196170808341115,0.0016948947470251299]
NA18489	[-0.40690286968396727,0.09282249539462642,0.007908218481583226,1.6360139746522437E-4,0.005124462672090239,-0.012032684808171797,6.322243624796234E-4,0.03539103605783827,5.551208698641522E-4,-0.028150990370089456,-4.537012057902737E-5,0.002670922668434112,-4.35013874727706E-4,-0.028644242185756206,-0.01833212274179156,0.001168700783336504,-0.005987202144239596,-0.005073532297421956,-0.007787578986287264,-0.004150363982173473]
NA18498	[-0.4075485497532247,0.09059104956522855,0.009997173556711186,0.003607088205874589,0.010749493571770529,-0.004716903547968463,-0.013848858110702151,0.03071243503205797,-0.009022009441484659,-0.049648574368881176,0.006678816211562336,0.0029587727658603427,0.012909271790667025,-0.03742847724636737,-0.034517433313464296,0.0026426018814580546,-0.003320029776851409,-0.0034315990128273434,-0.0023295193675228307,-0.002704205985235548]
NA18499	[-0.40722567719667374,0.09547409176051086,0.002983888940797296,1.6811583739006306E-5,0.009885751452699456,-0.01016801854271169,-0.013018214761356957,0.027484239078373683,-0.00518406244540584,-0.025662939051685558,0.004784334556353174,-0.0024991791090381993,0.010581217210618584,-0.03314159568499939,-0.039209834558397966,0.007151195805946611,0.0038182154762065232,-0.0019833066175110508,-0.00945687275662664,0.001342020123231631]
NA18501	[-0.40728794990546663,0.09569567853731559,0.0040117787889647925,-0.0062942532889983345,-2.856692771120668E-4,-0.009423874175359231,2.2669084081546758E-4,0.027699856611689198,-0.003942305963602193,-0.038867231136473356,0.011028080464552786,0.0070010434803696306,-0.00236593209610375,-0.020580494699287574,-0.026900485432150466,0.007163717360016366,0.009231689412161547,-0.008288972760664762,0.021315250419461775,0.007573874692837834]
NA18502	[-0.4085375581069533,0.09074187767647675,0.004537363488748759,0.002156457349045319,0.002409548232480125,-0.012485766153030951,-0.001835664190760467,0.0396642182082587,-0.00937236294450286,-0.05114560846358461,0.001388898690766279,0.005956097789962319,0.0014787415455015602,-0.0342545334467127,-0.04085586899340525,0.0056080735465524854,0.011267181858552168,-0.012042922872999262,0.004867748491701559,0.006484342813105771]
NA18504	[-0.41211811446878116,0.09376985503378565,0.010484333350685082,5.064249291118559E-4,0.0090825741506044,-0.006118642909244912,-1.1426437133696171E-4,0.027684017976140247,-0.01117945203177245,-0.05190978730796924,-0.002385696001536641,-0.001172662174981114,2.571493356953826E-4,-0.029614831364340722,-0.03402630522538833,0.004270069582909374,0.00404383726624221,-0.0041082884219018545,0.0073399220971936616,0.0039373537513139835]
NA18505	[-0.4162675807877759,0.09325746650519073,0.012351695592717263,0.00244115053393104,0.0026334368607267835,-0.014710734870863572,-0.0068897167598030214,0.03982127314849773,1.5132874532467651E-4,-0.06530443117123377,-0.0066002104282602975,0.0013829880270236168,0.003306006243981607,-0.04191996101467484,-0.025866590650997126,-0.017268717805386784,-0.003694502022205828,-0.0014049853504455785,0.0052141794857966765,-3.360397995516144E-4]
NA18507	[-0.4095844980589624,0.09617069740195756,0.009010566597590485,-0.0012487650981831857,0.0035192326062180776,-0.012453987706200735,-0.008846674936670225,0.034447419664754876,-8.306189652468836E-4,-0.03638978023765382,-0.004228590484852881,0.0028356273904397824,0.0048259763140950755,-0.02537327856149642,-0.03752391344168658,-0.006715140473636924,-0.0016932119627334882,0.003217706448987264,0.01950705817097172,-0.0017093616884061148]
NA18508	[-0.4106372640633469,0.09602913137414587,0.006452471618478121,-0.0018177098669485095,0.0074638124908955935,-0.005845010099005905,-6.068345477703293E-4,0.03125277582722758,-0.0071832986361960475,-0.046917794736171164,-6.504419403717211E-4,-0.0016440753605464614,-0.005451508786148835,-0.027362681314242993,-0.02406273485795785,-3.4189268676482876E-4,-0.0035463957167634966,0.00836330518548529,-6.10453456201751E-4,0.0065687264506210045]
NA18510	[-0.40799335613159105,0.09650991618938824,0.004624717104208029,0.0019723159983797063,-0.0017914243949946334,-0.0036184420823169184,-3.0810049784279243E-6,0.04681533292215087,-0.0032359200752455548,-0.036288622124378105,0.0022740909746343106,0.008632370731833082,0.005175359385707109,-0.024031696641995438,-0.02514756952654081,-0.015835006223517557,-0.0033617757326421904,0.008159764162968784,0.01183173155403553,-0.0018339782019426204]
NA18511	[-0.40997328986576476,0.09614707129499171,0.0040206089262822065,-0.0029496151746813315,0.00534990406946617,-0.0076886760019044525,-0.00370918973009335,0.03363787189116928,-0.009494667130197018,-0.045015505281436774,0.014433079111154008,0.010479760198553149,0.003908396586075621,-0.018268765950120832,-0.02916442407674894,0.0013102950975128326,-0.002768148769068983,-0.0078028038129732,0.005538570383585309,-0.005067378864366571]
NA18516	[-0.4078111682085986,0.09178451631946012,0.007623869703350794,-0.0012716511844719073,0.00766332162657007,-0.007476386617626121,-0.005791152311933298,0.03811300782823097,-0.007843108690699825,-0.029879978454828735,0.01663116608166693,0.011134251719044735,-0.004308309325901414,-0.04164790336469748,-0.02056477972837312,0.0043214539524940865,-0.0058906669839422525,-0.006685168409204163,0.014515501942937258,0.002808700098640187]
NA18517	[-0.40939959978465107,0.08859660542679854,0.009717294658085693,0.0052370847372060075,-3.727236864811096E-5,-0.007577331813293552,-0.005570766337041558,0.03149388647521651,-0.004647790939884819,-0.03187877508495313,0.009214476778635888,0.012601591747579731,0.0010611233378943316,-0.01635267236749602,-0.016584741082196777,0.007865505243631764,-0.003410180477224512,-0.012597399134763805,0.009391066055343527,0.0015518720648115996]
NA18519	[-0.41311688424754905,0.10007800784482723,0.0092352662874014,0.007140701543800947,0.00651462261446583,-0.013795708550365701,-0.005605873483139894,0.04234115484695683,-0.004443576660000307,-0.03495048794164583,0.002097561078952218,0.007446464074207131,0.006096701793294721,-0.02413285581507682,-0.03872244978939167,0.004287566605196873,0.0015175057610348898,-0.0077580685985703815,0.0018200173282318162,-0.001672581577122329]
NA18520	[-0.4095882464010118,0.09051642081733084,0.008651355344877962,-0.0015392195934457286,0.0011124504544933608,-0.0018296778293185587,-0.006807015613580394,0.0408725674059909,-0.0050407756845698435,-0.043521455020879854,-0.0035837329210768962,8.556436850958559E-4,0.018285986351431294,-0.024062442080695398,-0.027374333717555807,-0.003974143105904661,-0.0013998902529854106,0.00162192636277028,0.015591772740311054,0.002197405796013881]
NA18522	[-0.4112865110913588,0.0933279993904326,0.011886441868266834,0.001816545409499612,-0.0042807586115144024,-0.0019269170370875117,9.349076437771351E-4,0.027797500528374385,-0.004735805856683612,-0.0376170217701393,-0.004359678311249482,-0.003945266259025309,1.0992910143738354E-4,-0.019043837295990535,-0.03169867193464411,3.770531958782857E-4,0.0023238238524188777,-3.8887012258049874E-4,0.012651172280517186,0.004273581088920809]
NA18523	[-0.4043467462940171,0.09582966545435223,0.001456290557506801,-0.007700207090788629,0.008687058263230647,-0.009137610288532917,-0.01072745713539281,0.04304149865414897,-0.008293824473860265,-0.030816205651596727,0.0012729387332854215,0.008136015961241876,0.0034811819244294734,-0.021347915669435506,-0.01980212195266444,0.002904476870974699,-0.005389163200299139,-0.002934823945691142,0.019572261561668892,-0.004299344234354394]
NA18525	[0.20264816281185605,0.2920957099087418,-0.022107999275948514,0.07459500942234286,0.01635175088578734,-0.003660897793753195,-0.008531771478614692,-0.0077000446463733095,-5.6785994626662274E-5,0.0014622855387166334,0.0032473700311789516,0.007945373027685967,0.012692268711745879,-0.0063228349968475605,0.009973686316901082,-0.05854390407734327,0.02905540062394321,-0.018154737384730002,-0.004253180753979281,0.007571883456792137]
NA18526	[0.20819765298693757,0.29147092061350033,-0.021609881212169654,0.0774239225602736,0.012410896272586189,0.0010880310837663382,0.004606738422859776,-0.0034946225860122207,-0.0031033940607339034,-0.0028772530151692836,-0.0015357185344635582,0.016995504938124222,0.00476722942219315,-0.0013014217290015326,0.00923376473990498,-0.03685844384908107,0.029772656981593225,-0.002352231383457301,0.0013155105996211776,0.0028728110911603504]
NA18528	[0.19750488509154943,0.2829893064203183,-0.016536402295215993,0.07001534141563287,0.012091354259780049,-0.013675934799934088,-0.04695238065718136,-0.010928808227214391,-9.191501051289255E-4,0.0015561942646068242,0.00554397756644154,0.021751296254663544,0.0061023930890571915,-0.01753582513901423,0.00911151908892934,-0.06287340647788786,0.035814732707137815,-0.015159937756178889,-0.006388022624796895,-0.0146978198789691]
NA18530	[0.21071172755127635,0.28406800106510227,-0.012636512618245832,0.06649399945099238,0.0033272788185577775,-0.017558254526864204,-0.04460807920548383,-0.01518718587147025,-0.003221174721854586,9.848324421986062E-4,-0.0017869628138935717,0.021870054713194666,0.009074557297131355,-0.00577268451049909,0.00883917699537254,-0.05506892565310614,0.04311153181560273,-0.012482415024053676,-0.011948819755052107,-0.006095665931706137]
NA18531	[0.20591469861690076,0.27444997415654615,-0.01268443374180591,0.06123242045985758,0.01787241884270206,-0.016725776498718446,-0.042111594365870884,-0.009956722213775289,-0.00629927765187296,0.008896103765937526,-0.006509569878921494,0.02459004920585575,0.011176152474664896,-0.0076264480155014405,9.711392238373651E-4,-0.0741100186861577,0.04363446574084579,-0.008690929105454628,-0.012242867716699714,-0.016620299809659275]
NA18532	[0.20373942149345348,0.2938438422266309,-0.015534132644953867,0.07247325611320289,0.013411177491738393,0.0012912736073614713,-0.018968602856531517,-0.00848092949590223,2.0448929766131176E-5,-0.004085271947427911,0.004124157170491834,0.0032131033240898016,0.004874894997497557,-0.009472819413879102,0.005496675216516258,-0.05728389704374727,0.030168866743490265,-0.0051857028284018804,0.0033221292403856615,0.005852930003357169]
NA18533	[0.2033291459137625,0.2968422072912873,-0.021758994830773197,0.06979241817926868,0.00808644269626899,0.009586386702239632,0.008026508657970858,-0.002362556844593273,-0.008054136838131625,0.004222889763888998,0.0019937306813962753,5.510444449514252E-4,-0.006676257021928829,-0.00709971303019054,-0.005623629170596643,-0.0400110662990517,0.024198722440477206,0.004710789428129283,0.00513354146690141,-0.014569906481111445]
NA18534	[0.20042352582105658,0.2884034004887325,-0.008231970187479325,0.07360435867835893,0.015502218240682836,-0.01438948775565678,-0.03160557402860173,-0.013196694681467423,0.005967830699299056,-0.00785429149052897,0.008515482044250474,0.013282068425989337,0.013811067267374227,-0.007028620612147286,0.006856281791693099,-0.08074589393218254,0.03759478046012542,-0.013213520649242378,-0.005565874487133933,0.004332980833154419]
NA18535	[0.2006414218849249,0.2727820311834687,-0.006445764232981393,0.0702842991172944,0.015393052679306114,-0.022068817819317237,-0.05183979586824349,-0.01463099814330697,-0.00707017738518619,0.003295118497889051,-0.0011273759018550795,0.018730239572449014,0.014116121786182365,-0.01726401053171922,0.004230892779826368,-0.06529135229411615,0.03896943658863112,-0.007684193625469793,-0.00338253704235578,-0.008173890743090417]
