s	scores
HG00140	[0.07609846680469587,-0.24442441147602512,0.018686723595104347,0.09476386896952478,-0.01321565459839105,-0.052744523753062385,0.03325111181007447,0.010978254156650031,0.0021121691798138015,-0.0023379751566467654,0.01879316218158589,-0.004532239851506264,-6.611142219531897E-4,-0.006687136903036824,0.011636765787887337,-0.005976703770579858,0.012995317941596488,0.008051250738176693,0.0017985601157319278,-0.009948748827956058]
HG00141	[0.0750167010336668,-0.24538561344580054,0.02473392704949663,0.08716695734118979,-0.01164127412640101,-0.05124102041004996,0.03996459360054498,0.0019282715715361906,-2.053436224411906E-5,0.0034960951911206283,0.0012714369542896997,6.063227655154389E-4,0.0017346592120352903,-0.008200125392422106,0.014799126968835924,-0.0028848282848487686,-0.003297129990352979,0.0236280946697986,0.0036623598899038026,0.007299948920577156]
HG00142	[0.07535505635905063,-0.2468032808319613,0.017346246780122396,0.0990749070677933,-0.011066546334751305,-0.04535677220721669,0.027904954889748906,0.007505974596811869,0.0014914210316837333,-0.0018674479119030955,0.01082632108376156,9.101290053552991E-4,0.0013249264199517484,5.327859676559425E-4,-0.0031900715661005766,-0.006945453175421867,0.002299690760005302,0.01506645937067895,0.007733301875634623,0.004417190184251655]
HG00143	[0.06803607647094063,-0.24563357509795986,0.025723053262733844,0.0916692893456002,-0.002189507726625264,-0.05020885886718089,0.026169216917466973,0.004340792566864606,0.004104180911905735,0.0011020863681239915,0.0020403051990249403,-0.004723614619766313,0.0022616293197947387,-0.008863148081084717,0.0069422628895089615,0.0030787804737926663,-0.0053467402287289195,0.012959242740179386,-0.007642832931603678,0.005248384572771519]
HG00145	[0.0753360534886659,-0.23974288402677107,0.0219230063228252,0.0850278397183997,-0.007648987959139912,-0.04449988132124597,0.03767581784410869,-0.0039049964807026565,-0.0024234167745615944,0.005351411388820079,0.016665497073562713,7.48153267753612E-4,0.002953281474512653,-0.002781489693679174,-0.002699945622252405,-0.0065103937417755565,0.00846234815553755,0.010010237276891454,0.003692536723867493,-0.0020601039880032085]
HG00146	[0.08012262298050044,-0.24730600254545854,0.023262826959527513,0.09715198264855046,-0.012399108546641014,-0.03389495736879067,0.037938977922445834,-0.0040473871346663505,0.00776287253561524,0.0016241135154088874,-0.006150628091762768,-0.009071110651159718,-5.630633555685179E-4,-0.0018976168564300818,0.012617025309377363,0.0026196415617852744,-0.007079320024997178,0.01041907727109657,-0.0018848244028836646,-0.011497072187839462]
HG00148	[0.07281781626395611,-0.24942124618729009,0.0250572893881252,0.09269397300954162,-0.01070995688053486,-0.048600557143102366,0.03341669507805419,-9.419649613333698E-4,-0.001278759108653735,-0.007523295457936571,0.010601989531246159,-0.00864120608200283,6.523112133525398E-4,-0.011169985015246936,5.911455510504168E-4,-0.014682223213773457,0.010076829337292606,0.020560324377637378,4.26931675442909E-4,0.0011470665034427358]
HG00149	[0.07163444936678807,-0.2526758643516109,0.029247591259195054,0.100739648563846,-0.013533482982564191,-0.04514185665931726,0.026118410311252782,0.007111387223001931,0.001291526476256948,0.006013580632308181,0.00913616973887119,-0.009833106644221214,5.355568922284624E-4,0.0016646360729976153,-0.0036509887048800076,-0.006395825006339068,-0.008437619051328789,0.005664908463630322,0.002772708805954627,-0.0013891945546809495]
HG00150	[0.0786926536145869,-0.2448727731410028,0.023138222394525843,0.09341558112548823,-0.0038051405047296186,-0.050368151547487854,0.030517724827345508,-7.216291404349674E-4,9.08594640029996E-4,-0.008730718308601842,0.002584220968889963,0.007429075232999814,-0.0010512974951812177,-0.011388395487799829,-0.00752565173048977,-0.003739309483569521,0.00837215170055959,0.004299258109402776,0.002926730917030372,-0.009104592266967502]
HG00151	[0.0749517073994848,-0.24312492991302576,0.028323184868068715,0.09253858379969988,-0.01652484658046551,-0.049068644256470284,0.03433678823602683,0.009321685230214113,0.012867145800422121,-9.038205119087504E-4,0.003082031432038639,-0.0034903234985955264,0.001590151117637956,-0.014087895549963671,0.017891255275447906,0.003914885916057909,0.003642433003626626,0.01829114524369302,0.0035710038822670625,0.0015210432799417327]
